en,jp,idn
aid,援助,bantuan
ape,猿,kera
apt,~しそう/適切/相応,tepat
arm,腕,lengan
art,美術,seni
ask,聞く,bertanya
bag,バッグ,tas
ban,禁止,melarang
bug,虫,serangga
cab,タクシー,taksi
dim,薄暗い,redup
due,期限,jatuh tempo
era,時代,zaman
far,遠い,jauh
fat,脂肪,gemuk
fed,餌を与えた,diberi makan
few,少し,sedikit
fit,フィット,bugar
fix,修理,memperbaiki
flu,インフルエンザ,flu
fun,楽しい,seru
fur,毛皮,bulu
gas,ガス,gas
guy,男,pria
hub,ハブ,pusat
hug,ハグ,memeluk
ink,インク,tinta
jam,混雑する,selai
jet,ジェット,jet
job,仕事,pekerjaan
lag,遅れ,ketinggalan
lay,横たわる,berbaring
let,させて,membiarkan
lid,蓋,tutup
lot,多く,banyak
mad,狂った,gila
met,会った,bertemu
odd,奇数,aneh
owe,借りている,utang
own,自分の,memiliki
pay,支払う,membayar
per,パーセント,per
ran,走った,berlari
raw,生,mentah
rid,取り除く,menyingkirkan
row,行,baris
rug,ラグ,karpet
run,走る,berlari
sat,座った,duduk
saw,見た,gergaji
say,言う,mengatakan
see,見る,melihat
set,セット,mengatur
shy,シャイ,malu
son,息子,putra
sum,和,jumlah
tag,タグ,menandai
tax,税,pajak
too,あまりにも,juga
vcr,ビデオデッキ,vcr
via,経由,melalui
war,戦争,perang
yep,そうだね,ya
yet,まだ,belum
acid,酸,asam
ages,年齢,usia
also,また,Juga
area,エリア,daerah
away,離れて,jauh
baby,赤ちゃん,Sayang
back,戻る,kembali
bank,銀行,bank
beat,ビート,mengalahkan
been,された,pernah
bent,曲がった,bengkok
best,最高,terbaik
bill,請求書,tagihan
blew,吹いた,meledak
blue,青,biru
bold,太い/大胆な,berani
bomb,爆弾,bom
bore,退屈させる,membosankan
boss,ボス,bos
both,両方,keduanya
bush,茂み,semak-semak
busy,忙しい,sibuk
cake,ケーキ,kue
call,電話,panggilan
calm,落ち着いた,tenang
came,来た,telah datang
care,お手入れ,peduli
case,場合,kasus
cash,現金,uang tunai
cast,キャスト,pemeran
cave,洞窟,gua
cell,細胞,sel
city,市,kota
cold,寒い,dingin
come,来る,datang
cook,料理する,memasak
cool,クール,Dingin
cops,警官,polisi
cost,料金,biaya
crew,クルー,awak kapal
curb,縁石,mengendalikan
cure,治す,menyembuhkan
damn,くそ,berengsek
data,データ,data
days,日々,hari
deal,取引,kesepakatan
debt,借金,utang
deli,デリ,toko makanan
died,死亡しました,mati
diet,ダイエット,diet
does,する,melakukan
done,終わり,Selesai
down,下,turun
drop,落とす,menjatuhkan
drug,薬,obat
duty,義務,tugas
dyed,染め,dicelup
each,それぞれ,setiap
earn,得る,menghasilkan
else,それ以外,kalau tidak
ends,終わる,berakhir
envy,妬み,iri
even,イーブン/平等/同点,bahkan
ever,これまで,pernah
evil,悪,kejahatan
exam,テスト,ujian
exit,出口,KELUAR
face,顔/正面,menghadapi
fact,事実,fakta
fade,薄れる,memudar
fair,公平,adil
fake,偽物,palsu
fall,秋,jatuh
fame,名声,popularitas
fans,ファン,penggemar
fate,運命,takdir
fear,恐れ,takut
feat,偉業,prestasi
feel,感じる,merasa
feet,足,kaki
fell,落ちた,menjatuhkan
felt,感じた,dirasakan
fill,埋める,mengisi
fine,大丈夫/罰金,Bagus
fire,火,api
firm,固い,tegas
flat,フラット,datar
food,食べ物,makanan
ford,フォード,mengarungi
free,無料,bebas
full,満杯,penuh
fund,基金,dana
fuss,大騒ぎ,keributan
game,ゲーム,permainan
gave,与えた,telah memberi
gene,遺伝子,gen
gets,取得,mendapat
gift,贈り物,hadiah
give,与える,memberi
glad,嬉しい,senang
glue,のり,lem
goes,行きます,pergi
gone,消えた,hilang
grew,成長した,tumbuh
hall,ホール,aula
hang,下がる,menggantung
hard,難しい,keras
hate,嫌い,membenci
have,持っている,memiliki
head,頭,kepala
heap,ヒープ/塚/積み重ねたもの,tumpukan
heat,熱,panas
help,ヘルプ,membantu
here,ここ,Di Sini
hide,隠れる,bersembunyi
hold,所有,memegang
home,家,rumah
hope,希望,harapan
huge,巨大な,sangat besar
hurt,傷つく,terluka
idea,アイデア,ide
into,の中へ,ke dalam
jail,刑務所,penjara
june,六月,Juni
junk,ジャンク,sampah
just,ただ,hanya
keep,保つ,menyimpan
kids,子供たち,anak-anak
kill,殺す,membunuh
know,知る,tahu
lack,足らない,kekurangan
laid,敷いた,dibaringkan
lake,湖,danau
last,最後,terakhir
late,遅い,terlambat
lazy,怠け者,malas
lead,鉛,memimpin
left,左,kiri
lend,貸す,meminjamkan
less,少ない,lebih sedikit
life,人生,kehidupan
like,のように,menyukai
line,ライン,garis
live,ライブ,hidup
load,負荷,memuat
long,長さ,panjang
look,見て,Lihat
lose,失う,kehilangan
loss,損失,kehilangan
lost,失った,hilang
lots,たくさん,banyak
loud,うるさい,keras
love,愛,Cinta
luck,運,keberuntungan
made,作った,dibuat
make,作る,membuat
mall,モール,mall
many,多くの,banyak
mars,火星,Mars
math,数学,matematika
meal,食事,makanan
mean,平均,berarti
meet,会う,bertemu
mess,混乱,kekacauan
mind,心,pikiran
mine,私の,milikku
miss,逃す,merindukan
mold,型,cetakan
mood,気分,suasana hati
more,もっと,lagi
most,ほとんど,paling
move,動く,bergerak
much,多くの,banyak
must,しなければならない,harus
name,名前,nama
near,近く,di dekat
neck,首,leher
need,必要,membutuhkan
next,次,Berikutnya
none,なし,tidak ada
noon,正午,siang
obey,従う,mematuhi
okay,わかった,Oke
once,一度,sekali
only,のみ,hanya
oops,おっと,ups
open,開ける,membuka
over,以上,lebih
pace,ペース,laju
pain,痛み,nyeri
pale,青白い,pucat
pang,(心の)苦しみ,pang
part,一部,bagian
pass,合格,lulus
past,過去,masa lalu
path,小道/細道,jalur
pays,支払う,membayar
pick,選ぶ,memilih
pile,堆積,tumpukan
pity,残念,disayangkan
plan,計画,rencana
poll,世論調査,pemilihan
pull,引く,menarik
pure,純粋な,murni
quit,やめる,berhenti
rage,激怒,kemarahan
rain,雨,hujan
rare,レア,langka
rate,率,kecepatan
real,本物,nyata
rear,後方,belakang
rely,頼る,mengandalkan
rent,家賃,menyewa
rest,休む,istirahat
rich,豊か,kaya
ride,乗る,mengendarai
riot,暴動,kerusuhan
ripe,熟した,matang
rise,上昇,bangkit
risk,危険,mempertaruhkan
road,道,jalan
role,役割,peran
room,部屋,ruang
rude,失礼,kasar
rule,ルール,aturan
runs,走る,berjalan
said,言った,dikatakan
sake,目的/利益/~のため,demi
sale,セール,penjualan
sank,沈んだ,tenggelam
says,言う,mengatakan
seem,思われる,terlihat
show,見せる,menunjukkan
shut,シャット,ditutup
sick,病気,sakit
side,側,samping
sigh,はぁ,mendesah
sign,サイン,tanda
sins,罪,dosa
soap,石鹸,sabun mandi
soil,土壌,tanah
sold,売られた,terjual
sole,唯一,tunggal
some,いくつかの,beberapa
soon,すぐ,segera
sore,痛み,sakit
sort,選別,menyortir
spot,スポット,titik
stay,滞在する,tinggal
stir,かき混ぜる,mengaduk
stop,停止,berhenti
such,そのような,seperti
sure,もちろん,mengambil
tale,物語,kisah
talk,話す,bicara
task,タスク,tugas
tell,教えて,memberi tahu
tend,傾向がある,cenderung
than,よりも,dibandingkan
them,彼ら,mereka
then,それから,Kemudian
thin,薄い,tipis
tied,結ばれた,terikat
tiny,小さい,kecil
tips,チップ,tip
tire,タイヤ,ban
toil,労苦,bekerja keras
told,言った,diberi tahu
took,取った,telah mengambil
tool,道具,alat
tore,引き裂いた,merobek
trap,トラップ,perangkap
TRUE,真実,BENAR
turn,振り向く,berbelok
ugly,醜い,jelek
used,使用済み,digunakan
vain,うぬぼれが強い,sia-sia
vast,広大な,luas
very,とても,sangat
vice,副,keburukan
view,ビュー,melihat
vote,投票する,Pilih
wait,待って,Tunggu
want,欲しい,ingin
week,週,pekan
well,良い,Sehat
went,行った,telah pergi
what,何,Apa
when,いつ,Kapan
wide,広い,lebar
wife,妻,istri
will,意思,akan
wind,風,angin
wish,願い,mengharapkan
with,と,dengan
word,言葉,kata
work,仕事,bekerja
worn,着用した,dipakai
yard,ヤード,halaman
yawn,欠伸,menguap
yeah,うん,Ya
year,年,tahun
your,あなたの,york
zero,ゼロ,nol
about,について,tentang
above,その上,di atas
adapt,適応する,menyesuaikan
admit,認める,mengakui
adopt,採用する,mengambil
after,後,setelah
again,また,lagi
agent,エージェント,agen
aging,エージング,penuaan
agree,同意する,setuju
ahead,先に,di depan
aimed,狙った,ditujukan
aisle,通路,lorong
alien,エイリアン,asing
alone,一人で,sendiri
along,平行,bersama
alter,変更する,mengubah
among,の間で,di antara
anger,怒り,amarah
ankle,足首,pergelangan kaki
apart,離れて,terpisah
apply,適用する,menerapkan
april,4月,April
arise,起きる,timbul
armed,武装した,bersenjata
ashes,灰,abu
asian,アジア人,Asia
aside,脇に,ke samping
asked,尋ねた,diminta
award,賞,menghadiahkan
aware,わかっている,menyadari
awful,ひどい,buruk sekali
backs,背中,punggung
basis,基礎,dasar
begin,始める,mulai
being,いる,makhluk
below,下に,di bawah
bills,請求書,tagihan
birth,誕生,kelahiran
black,黒,hitam
blame,非難,menyalahkan
blaze,燃える,api
blind,盲目,buta
blood,血,darah
board,ボード,papan
bound,縛られた,melompat
brain,脳,otak
brave,勇敢な,berani
break,壊す,merusak
brief,簡単な,singkat
broke,壊れた,bangkrut
bucks,ドル,dolar
build,建てる,membangun
bunch,束,kelompok
burst,バースト,meletus
buses,バス,bis-bis
cabin,キャビン,kabin
canal,運河,kanal
cards,カード,kartu-kartu
cargo,貨物,muatan
carry,運ぶ,membawa
carve,彫る,mengukir
catch,キャッチ,menangkap
cause,原因,menyebabkan
cells,細胞,sel
chart,チャート,bagan
check,チェック,memeriksa
cheer,乾杯,bersorak
chest,胸,dada
chill,チル,santai
china,中国,Cina
civil,民事,sipil
clear,クリア,jernih
clock,時計,jam
close,近い,menutup
clues,手がかり,petunjuk
coast,海岸,pesisir
coats,コート,mantel
comes,来る,datang
costs,費用,biaya
cough,咳,batuk
could,できた,bisa
court,裁判所,pengadilan
cover,カバー,menutupi
crash,クラッシュ,menabrak
crazy,クレイジー,gila
creed,信条,kepercayaan
crept,忍び寄った,merayap
crime,犯罪,kejahatan
crops,作物,tanaman-tanaman
crowd,群衆,kerumunan
crude,粗雑な,mentah
cruel,残酷な,kejam
curse,呪い,menyumpahi
curve,曲線,melengkung
daily,毎日,sehari-hari
dares,敢えて,berani
dates,日付,tanggal
death,死,kematian
dents,へこみ,penyok
depth,深さ,kedalaman
dizzy,めまい,pusing
doing,やってる,sedang mengerjakan
dolly,ドリー,boneka
doubt,疑い,ragu
drops,滴る,tetes
drunk,酔っ払い,mabuk
dwell,住む,tinggal
dying,死んでいる,sekarat
eager,熱心な,ingin sekali
early,早い,lebih awal
earth,地球,bumi
eight,八,delapan
elite,エリート,elite
email,Eメール,surel
empty,空の,kosong
enemy,敵,musuh
enter,入力,memasuki
essay,エッセイ,karangan
every,毎,setiap
exact,ちょうど,akurat
extra,余分な,tambahan
fable,寓話,fabel
faced,直面した,dihadapi
fairy,妖精,peri
faith,信仰,keyakinan
FALSE,間違い,PALSU
fancy,ファンシー,menyukai
fares,運賃,tarif
fault,故障,kesalahan
favor,好意,kebaikan
feels,感じる,terasa
fever,熱,demam
fifty,50,lima puluh
fired,解雇された,dipecat
first,初め,Pertama
flaws,欠陥,kekurangan
flies,ハエ,lalat
flood,洪水,banjir
flour,小麦粉,tepung
focus,集中,fokus
foggy,霧がかかった,berkabut
folks,皆さん,rakyat
forms,フォーム,formulir
forth,前方へ,seterusnya
found,見つかった,ditemukan
frame,フレーム,bingkai
frank,フランク,jujur
fraud,詐欺,tipuan
front,フロント,depan
froze,凍った,membeku
fruit,フルーツ,buah
fuels,燃料,bahan bakar
gauge,ゲージ,mengukur
gazed,見つめた,menatap
girls,女の子,cewek-cewek
gives,与える,memberi
globe,グローブ,bola dunia
glory,栄光,kejayaan
going,行く,pergi
goods,品,barang-barang
grain,粒,bulir
great,素晴らしい,Besar
grief,悲しみ,duka
group,グループ,kelompok
guest,ゲスト,tamu
habit,癖,kebiasaan
hands,手,tangan
handy,ハンディ,berguna
harsh,ひどい,kasar
haste,急いで,bergegas
heads,頭,kepala
heart,心臓,jantung
honor,名誉,menghormati
house,家,rumah
how,どうやって,Bagaimana
human,人間,manusia
humid,湿気が多い,lembab
hurry,急いで,buru-buru
idiot,ばか,bodoh
items,アイテム,item
japan,日本,Jepang
jason,ジェイソン,Jason
keeps,保つ,terus
knees,膝,lutut
known,知られている,diketahui
labor,労働,tenaga kerja
large,大きい,besar
later,後で,Nanti
layer,層,lapisan
learn,学ぶ,mempelajari
least,少しでも,paling sedikit
leave,離れる,meninggalkan
legal,法律上の,hukum
light,ライト,lampu
likes,好き,suka
lives,生きている,hidup
local,地元,lokal
logic,論理,logika
looks,見た目,terlihat
major,選考科目,besar
makes,作る,membuat
maybe,多分,Mungkin
mayor,市長,walikota
means,手段,cara
mercy,慈悲,belas kasihan
might,かもしれない,mungkin
minds,心,pikiran
minor,マイナー,minor
molly,モリー,molly
money,お金,uang
month,月,bulan
moral,道徳の,moral
motel,モーテル,motel
mouth,口,mulut
moved,移動しました,terharu
music,音楽,musik
myths,神話,mitos
nails,爪,kuku
naive,ナイーブな,naif
naked,裸,telanjang
named,名前付き,bernama
naomi,ナオミ,naomi
nasty,汚い,tidak menyenangkan
natto,納豆,natto
needs,ニーズ,kebutuhan
never,一度もない,tidak pernah
niece,姪,keponakan perempuan
night,夜,malam
noble,ノーブル,bangsawan
noted,了解しました,dicatat
novel,小説,novel
ocean,海,laut
often,頻繁,sering
opera,オペラ,opera
orbit,軌道,orbit
order,注文,memesan
organ,器官,organ
other,他の,lainnya
ought,すべきだ,sebaiknya
outer,外側,luar
owing,借りがある,terhutang
ozone,オゾン,ozon
pants,パンツ,celana
party,パーティー,berpesta
pause,一時停止,berhenti sebentar
peace,平和,perdamaian
phase,段階,fase
phone,電話,telepon
piece,ピース,bagian
pills,丸薬,pil
place,場所,tempat
plain,無地,polos
plane,飛行機,pesawat
plant,植物,tanaman
plays,遊ぶ,diputar
point,ポイント,titik
power,力,kekuatan
press,プレス,tekan
print,印刷する,mencetak
prior,前,sebelumnya
prose,散文,prosa
proud,誇りに思う,bangga
purse,財布,tas kecil
quite,とても,lumayan
rainy,雨の,hujan
range,範囲,jangkauan
reach,到着,mencapai
ready,準備ができて,siap
rebel,反逆者,pemberontak
reign,治世,memerintah
reply,返事,membalas
right,右,Kanan
rigid,硬い,kaku
risen,起きた,bangkit
risks,リスク,risiko
rough,粗い,kasar
rumor,噂,isu
rural,田舎,pedesaan
rusty,錆びた,berkarat
sales,販売,penjualan
scale,規模,skala
scent,香り,aroma
seeds,種子,biji
sense,センス,nalar
shade,シェード,naungan
shape,形,membentuk
share,共有,membagikan
she,彼女,dia
sheer,薄手の,belaka
shelf,棚,rak
shook,震えた,bergetar
shore,海岸,pantai
short,短い,pendek
shows,ショー,menunjukkan
sight,視力,penglihatan
silly,馬鹿な,konyol
since,以来,sejak
small,小さい,kecil
smart,頭いい,cerdas
solid,固体,padat
sorry,ごめん,Maaf
souls,魂,jiwa
sound,音,suara
space,空間,ruang angkasa
spare,予備の,meluangkan
speak,話す,berbicara
spell,スペル,mengeja
spend,過ごす,membelanjakan
spite,悪意,meskipun
split,スプリット,membelah
staff,スタッフ,staf
stand,立つ,berdiri
starr,スター,berbintang
start,始める,awal
state,州,negara
steep,急な,curam
stiff,硬い,kaku
still,まだ,tetap
stink,悪臭,bau
stood,立っていた,berdiri
store,店,toko
stuck,立ち往生,terjebak
stuff,もの,hal-hal
suite,スイート,rangkaian
sweat,汗,keringat
swore,誓った,bersumpah
tails,尾,ekor
taken,取られた,diambil
takes,かかります,dibutuhkan
talks,話す,pembicaraan
tears,涙,air mata
terms,条項,ketentuan
their,彼らの,milik mereka
theme,テーマ,tema
there,そこには,di sana
these,これら,ini
thick,厚い,tebal
thief,泥棒,maling
thing,もの,benda
think,考える,memikirkan
those,それらの,itu
three,三つ,tiga
threw,投げた,melemparkan
times,回,waktu
timid,臆病な,pemalu
tired,疲れた,lelah
title,タイトル,judul
today,今日,Hari ini
tokyo,東京,Tokyo
topic,トピック,tema
touch,触る,menyentuh
tough,厳しい,keras
trace,痕跡,jejak
track,追跡,melacak
trade,貿易,berdagang
treat,扱う,merawat
trial,トライアル,uji coba
tribe,部族,suku
truck,トラック,truk
trust,信頼,memercayai
truth,真実,kebenaran
turns,ターン,ternyata
twice,二度,dua kali
twins,双子,saudara kembar
uncle,叔父,paman
under,下,di bawah
union,連合,Persatuan
units,単位,unit
until,それまで,sampai
upset,動揺,gundah
urban,都会的な,perkotaan
usual,いつもの,biasa
vague,漠然,tidak jelas
valid,有効,sah
verge,寸前,ambang
vital,重要な,vital
vivid,鮮やかな,jelas
wages,賃金,upah
watch,時計,jam tangan
weigh,重さを量る,Menimbang
weird,奇妙な,aneh
wheat,小麦,gandum
where,どこ,Di mana
which,どれの,yang
while,その間,ketika
whole,全体,utuh
width,幅,lebar
witch,魔女,penyihir
woman,女性,wanita
word;,言葉;,kata;
words,言葉,kata-kata
works,作品,bekerja
world,世界,dunia
worse,悪い,lebih buruk
worth,価値,bernilai
would,するだろう,akan
write,書く,menulis
wrong,間違っている,salah
years,年,bertahun-tahun
yield,収率,menghasilkan
youth,若者,anak muda
abroad,海外,luar negeri
absent,不在,absen
absurd,不条理な,absurd
abused,虐待された,disalahgunakan
access,アクセス,mengakses
across,横切って,lintas
action,アクション,tindakan
active,アクティブ,aktif
addict,中毒者,pencandu
adjust,調整する,menyesuaikan
admire,憧れ,mengagumi
afford,余裕ある,memberi
afraid,恐れている,takut
allies,同盟国,sekutu
always,いつも,selalu
amazed,驚いた,terkagum-kagum
annual,年間,tahunan
anyone,誰でも,siapa pun
appeal,訴える,menarik
argues,主張する,berpendapat
around,その周り,sekitar
arrest,逮捕,menangkap
asleep,眠っている,tertidur
aspect,側面,aspek
assume,仮定する,menganggap
assure,保証します,memastikan
athens,アテネ,Athena
attack,攻撃,menyerang
author,著者,pengarang
backed,裏付けられた,bersandaran
barely,かろうじて,hampir tidak
barrel,たる,barel
became,なりました,menjadi
become,なる,menjadi
before,前に,sebelum
begged,懇願した,memohon
behalf,代理して,kepentingan
behind,後ろに,di belakang
beings,存在,makhluk
beside,そばに/傍/外れる,di samping
better,より良い,lebih baik
beyond,超えて,di luar
biting,噛む,bersanding
bitter,苦い,pahit
blanks,ブランク,kosong
border,国境,berbatasan
boring,つまらない,membosankan
borrow,借りる,meminjam
bottom,底,dasar
branch,支店,cabang
bribes,賄賂,suap
brutal,残忍な,brutal
budget,予算,anggaran
bullet,弾丸,peluru
bumped,ぶつかった,terbentur
buried,埋葬された,terkubur
burned,やけど,dibakar
called,呼ばれた,ditelepon
cancer,癌,kanker
cannot,できない,tidak bisa
carbon,炭素,karbon
career,キャリア,karier
caring,思いやりのある,merawat
casual,カジュアル,kasual
cattle,牛,ternak
caught,つかまった,tertangkap
chance,チャンス,peluang
change,変化,mengubah
charge,充電,mengenakan biaya
choice,選択,pilihan
chores,家事,pekerjaan rumah tangga
clerks,事務員,pegawai
client,クライアント,klien
clumsy,不器用,kikuk
coffee,コーヒー,kopi
collar,襟,kerah
colony,コロニー,koloni
coming,到来,yang akan datang
commit,専念,melakukan
common,一般,umum
coping,対処する,mengatasi
counts,カウント,penting
county,郡,daerah
couple,カップル,pasangan
course,コース,kursus
cousin,いとこ,sepupu
coward,腰抜け,pengecut
cracks,ひび割れ,retak
create,作成する,membuat
crisis,危機,krisis
curfew,門限,jam malam
damage,ダメージ,kerusakan
danger,危険,bahaya
dawned,夜が明けた,fajar
debate,議論,perdebatan
decent,ちゃんとした,baik
defeat,敗北,mengalahkan
demand,要求,tuntutan
denied,拒否されました,ditolak
desert,砂漠,gurun
detail,詳細,detail
device,デバイス,perangkat
dinner,夕食,makan malam
dishes,食器,cucian piring
dismal,陰惨な,suram
dreams,夢,mimpi
during,その間,selama
duties,義務,tugas
eating,食べる,makan
effect,効果,memengaruhi
effort,努力,upaya
elbows,肘,siku
endure,耐える,menderita
energy,エネルギー,energi
entire,全体,seluruh
erupts,噴火する,meletus
escape,逃げる,melarikan diri
estate,エステート,perkebunan
ethnic,エスニック,etnis
except,を除外する,kecuali
excuse,言い訳,mengizinkan
expand,拡大する,memperluas
expert,専門家,pakar
extent,範囲,cakupan
fabric,ファブリック,kain
failed,失敗した,gagal
fallen,落ちた,jatuh
family,家族,keluarga
famine,飢饉,kelaparan
farmer,農家,petani
father,父親,ayah
faucet,蛇口,keran
female,女性,perempuan
figure,形,angka
flatly,平たく,dengan datar
flight,フライト,penerbangan
fluent,流暢,fasih
forced,強制的,dipaksa
forces,力,kekuatan
forget,忘れる,lupa
former,前者,mantan
fossil,化石,fosil
foster,養子,mengasuh
friday,金曜日,Jumat
fridge,冷蔵庫,kulkas
gadget,ガジェット,Gawai
gender,性別,jenis kelamin
genius,天才,jenius
gentle,優しい,lembut
giotto,ジョット,Giotto
giving,与える,memberi
glance,一目,lirikan
global,グローバル,global
gloves,手袋,sarung tangan
gotten,得た,didapat
greedy,よく深い,tamak
growth,成長,pertumbuhan
guests,ゲスト,tamu
guilty,有罪,bersalah
handed,渡された,diserahkan
hardly,しそうにない,hampir tidak
having,持っている,memiliki
helped,助けた,membantu
herbal,ハーブ,jamu
hitech,ハイテク,halangan
honest,正直,jujur
hoping,願って,berharap
horror,ホラー,kengerian
humble,謙虚な,rendah hati
hunger,飢え,kelaparan
ideals,理想,cita-cita
impose,課す,memaksakan
income,所得,penghasilan
insane,非常識な,gila
inside,内部,di dalam
issues,問題,masalah
itself,自体,diri
jacket,ジャケット,jaket
judged,判断された,diadili
jury,陪審,juri
larger,より大きな,lebih besar
latest,最新,terbaru
latter,後者,yang terakhir
lawyer,弁護士,pengacara
leaned,傾いた,bersandar
leaped,飛び跳ねた,melompat
leaves,葉,daun-daun
length,長さ,panjang
lesson,レッスン,pelajaran
letter,手紙,surat
likely,おそらく,mungkin
little,少し,kecil
living,生活,hidup
lonely,さみしい,kesepian
longer,より長いです,lebih lama
losing,負け,kekalahan
losses,損失,kerugian
making,作る,membuat
manage,管理,mengelola
manual,マニュアル,panduan
